Subject,Course,Course Code,Points,Level,College
Architecture and construction,Property Valuation and Management,LC242,282,8,Limerick Institute of Technology
Architecture and construction,Quantity Surveying,LC243,294,8,Limerick Institute of Technology
Architecture and construction,Built Environment (Common Entry),LC248,288,8,Limerick Institute of Technology
Architecture and construction,Civil Engineering,LC251,206,7,Limerick Institute of Technology
Architecture and construction,Civil Engineering Management,LC252,270,8,Limerick Institute of Technology
Arts,Interior Design,LC257,264,7,Limerick Institute of Technology
Biological and related sciences,Applied Biology,LC260,326,7,Limerick Institute of Technology
Health,Clinical Technology,LC263,294,8,Limerick Institute of Technology
Physical sciences,Forensic and Pharmaceutical Sciences,LC265,413,8,Limerick Institute of Technology
Environment,Drug and Medicinal Product Analysis,LC266,262,8,Limerick Institute of Technology
Physical sciences,Forensic and Pharmaceutical Sciences,LC267,329,7,Limerick Institute of Technology
Health,Medical Technology,LC268,289,7,Limerick Institute of Technology
Arts,Music Technology and Production,LC270,307,7,Limerick Institute of Technology
Engineering and engineering trades,Electrical Engineering,LC271,261,7,Limerick Institute of Technology
Engineering and engineering trades,Electrical Engineering,LC275,298,8,Limerick Institute of Technology
Arts,Creative Broadcast and Film Production,LC276,297,7,Limerick Institute of Technology
Engineering and engineering trades,Industrial Automation and Robotic Systems,LC277,232,7,Limerick Institute of Technology
Engineering and engineering trades,Renewable and Electrical Energy Engineering,LC278,280,7,Limerick Institute of Technology
Engineering and engineering trades,Electronic Engineering,LC279,214,7,Limerick Institute of Technology
Engineering and engineering trades,Automobile Technology,LC281,208,6,Limerick Institute of Technology
Engineering and engineering trades,Precision Engineering,LC283,227,7,Limerick Institute of Technology
Engineering and engineering trades,"Agricultural Mechanisation at Salesian Agricultural College,Pallaskenry",LC284,200,6,Limerick Institute of Technology
Engineering and engineering trades,Mechanical Engineering,LC285,272,7,Limerick Institute of Technology
Engineering and engineering trades,Road Transport Technology and Management,LC286,264,7,Limerick Institute of Technology
Engineering and engineering trades,Mechanical Engineering,LC288,347,8,Limerick Institute of Technology
Engineering and engineering trades,Precision Engineering,LC289,291,8,Limerick Institute of Technology
Personal services,Community Sport Development,LC290,188,7,Limerick Institute of Technology
Welfare,Social Care Work,LC292,367,8,Limerick Institute of Technology
Personal services,Business Studies with Travel and Tourism Management,LC293,307,8,Limerick Institute of Technology
Personal services,Business Studies with Event Management,LC294,279,8,Limerick Institute of Technology
Business and administration,Business Studies with Sports Management,LC295,252,8,Limerick Institute of Technology
Social and behavioural sciences,Community Development,LC297,235,8,Limerick Institute of Technology
Business and administration,Business,LC320,346,8,Limerick Institute of Technology
Information and Communication Technologies (ICTs),Business with Computing,LC330,297,8,Limerick Institute of Technology
Information and Communication Technologies (ICTs),Computing,LC336,207,7,Limerick Institute of Technology
Arts,Interior Design,LC340,350,8,Limerick Institute of Technology
Biological and related sciences,Biotechnology and Biopharmaceutical Sciences,LC362,413,8,Limerick Institute of Technology
Arts,Creative Broadcast and Film Production,LC371,309,8,Limerick Institute of Technology
Arts,Music Technology and Production,LC372,325,8,Limerick Institute of Technology
Engineering and engineering trades,Renewable and Electrical Energy Engineering,LC374,318,8,Limerick Institute of Technology
Engineering and engineering trades,Industrial Automation and Robotic Systems,LC375,317,8,Limerick Institute of Technology
Engineering and engineering trades,Electronic Engineering,LC376,318,8,Limerick Institute of Technology
Transport services,Automotive Engineering and Transport Management,LC380,303,8,Limerick Institute of Technology
Personal services,Business Studies in Beauty and Spa Management,LC392,236,8,Limerick Institute of Technology
Welfare,Early Childhood Education and Care,LC393,236,8,Limerick Institute of Technology
Personal services,Culinary Arts,LC398,163,7,Limerick Institute of Technology
Personal services,Hospitality Supervision,LC399,148,7,Limerick Institute of Technology
Welfare,Early Childhood Education and Care,LC401,297,8,Limerick Institute of Technology
Welfare,Social Care Work,LC402,225,8,Limerick Institute of Technology
Environment,Environmental Science and Climate,LC408,279,8,Limerick Institute of Technology
Information and Communication Technologies (ICTs),Data Analytics and Cyber Security,LC414,236,8,Limerick Institute of Technology
Business and administration,Business,LC415,197,7,Limerick Institute of Technology
Business and administration,Business,LC416,274,8,Limerick Institute of Technology
Information and Communication Technologies (ICTs),Computing - Games Design and Development,LC418,270,8,Limerick Institute of Technology
Personal services,Sports Strength and Conditioning,LC422,298,8,Limerick Institute of Technology
Personal services,Sports Strength and Conditioning,LC423,157,7,Limerick Institute of Technology
Environment,Environmental Science,LC425,278,7,Limerick Institute of Technology
"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Environmental Science and Agriculture,LC428,278,7,Limerick Institute of Technology
Welfare,Early Childhood Education and Care,LC432,144,7,Limerick Institute of Technology
"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Environmental Science and Agriculture,LC434,297,8,Limerick Institute of Technology
Information and Communication Technologies (ICTs),Game Art and Design (portfolio),LC502,852,8,Limerick Institute of Technology
Information and Communication Technologies (ICTs),Creative Media and Design,LC504,192,7,Limerick Institute of Technology
Information and Communication Technologies (ICTs),Creative Media and Design,LC517,234,8,Limerick Institute of Technology
Information and Communication Technologies (ICTs),Digital Animation Production (portfolio),LC518,808,8,Limerick Institute of Technology
Welfare,Social Care Work,LC602,260,7,Limerick Institute of Technology
Welfare,Early Childhood Education and Care,LC603,147,7,Limerick Institute of Technology
Business and administration,Business,LC605,195,7,Limerick Institute of Technology
Welfare,Social Care Work,LC612,320,8,Limerick Institute of Technology
Welfare,Early Childhood Education and Care,LC613,242,8,Limerick Institute of Technology
Humanities (except languages),Arts,LM002,348,8,University of Limerick
Law,Law and Accounting,LM020,465,8,University of Limerick
Arts,Performing Arts (audition required),LM026,303,8,University of Limerick
Law,Criminal Justice,LM028,418,8,University of Limerick
Law,Law Plus,LM029,490,8,University of Limerick
Social and behavioural sciences,Psychology and Sociology,LM038,500,8,University of Limerick
Journalism and information,Journalism and Digital Communication,LM039,402,8,University of Limerick
Humanities (except languages),European Studies,LM040,369,8,University of Limerick
Languages,Applied Languages,LM044,442,8,University of Limerick
Business and administration,Business Studies (options),LM050,431,8,University of Limerick
Business and administration,International Business,LM056,528,8,University of Limerick
Mathematics and statistics,Financial Mathematics,LM058,403,8,University of Limerick
Information and Communication Technologies (ICTs),Technology Management,LM063,379,8,University of Limerick
Manufacturing and processing,Food Science and Health,LM068,421,8,University of Limerick
Manufacturing and processing,Product Design and Technology (portfolio required),LM076,408,8,University of Limerick
Engineering and engineering trades,Aeronautical Engineering,LM077,520,8,University of Limerick
Manufacturing and processing,Construction Management and Engineering,LM082,398,8,University of Limerick
Personal services,Sport and Exercise Sciences,LM089,474,8,University of Limerick
Education,Physical Education with concurrent Teacher Education,LM090,532,8,University of Limerick
Education,Languages with concurrent Teacher Education,LM091,517,8,University of Limerick
Education,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),LM092,507,8,University of Limerick
Biological and related sciences,Equine Science,LM093,339,8,University of Limerick
Education,Materials and Architectural Technology with concurrent Teacher Education,LM094,440,8,University of Limerick
Education,Materials and Engineering Technology with concurrent Teacher Education,LM095,367,8,University of Limerick
Education,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),LM096,405,8,University of Limerick
Mathematics and statistics,Mathematics and Computer Science with concurrent Teacher Education,LM097,402,8,University of Limerick
Architecture and construction,Architecture (portfolio requirement suspended),LM099,498,8,University of Limerick
Health,Physiotherapy,LM100,589,8,University of Limerick
Health,Medicine  - Graduate Entry (GAMSAT required),LM101,55,8,University of Limerick
Social and behavioural sciences,Psychology,LM102,509,8,University of Limerick
Health,Paramedic Studies (B/C1/C1 Provisional Drivers Licence),LM103,392,8,University of Limerick
Physical sciences,Chemical and Biochemical Engineering,LM115,454,8,University of Limerick
Engineering and engineering trades,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),LM116,476,8,University of Limerick
Engineering and engineering trades,Electronic and Computer Engineering,LM118,403,8,University of Limerick
Information and Communication Technologies (ICTs),Computer Science (Computer Systems/Games Dev/Mobile Comm Security),LM121,351,8,University of Limerick
Information and Communication Technologies (ICTs),Creative Media and Interaction Design (Digital Design/Music Media Tech),LM122,327,8,University of Limerick
Biological and related sciences,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),LM123,441,8,University of Limerick
Mathematics and statistics,Mathematics (Math Science/Maths and Physics/Economics and Maths),LM124,437,8,University of Limerick
Physical sciences,Physics (Applied Physics or Mathematics & Physics),LM125,404,8,University of Limerick
Health,General Nursing,LM150,475,8,University of Limerick
Health,Mental Health Nursing,LM152,419,8,University of Limerick
Health,Intellectual Disability Nursing,LM154,420,8,University of Limerick
Health,Midwifery,LM156,469,8,University of Limerick
Biological and related sciences,Equine Science,LM180,337,6,University of Limerick
Business and administration,Business - Common Entry,LY107,161,7,Letterkenny Institute of Technology
Business and administration,Business - Accounting,LY108,309,8,Letterkenny Institute of Technology
Business and administration,Business,LY118,290,8,Letterkenny Institute of Technology
Personal services,Sports Studies,LY206,149,6,Letterkenny Institute of Technology
Law,Law with Criminal Justice,LY207,160,7,Letterkenny Institute of Technology
Law,Law,LY208,300,8,Letterkenny Institute of Technology
Personal services,Sports and Exercise - Common Entry,LY228,300,8,Letterkenny Institute of Technology
Personal services,Culinary Arts,LY317,229,7,Letterkenny Institute of Technology
Personal services,Hospitality And Tourism - Common Entry,LY327,170,7,Letterkenny Institute of Technology
Arts,Design - Common Entry,LY408,320,8,Letterkenny Institute of Technology
Arts,Digital Film and Video,LY427,172,7,Letterkenny Institute of Technology
Arts,Animation,LY437,198,7,Letterkenny Institute of Technology
Arts,Fashion with Promotion,LY447,266,7,Letterkenny Institute of Technology
Arts,Graphic and Digital Design,LY457,179,7,Letterkenny Institute of Technology
Architecture and construction,Quantity Surveying,LY507,181,7,Letterkenny Institute of Technology
Architecture and construction,Fire Safety Engineering,LY508,276,8,Letterkenny Institute of Technology
Architecture and construction,Quantity Surveying,LY518,301,8,Letterkenny Institute of Technology
Architecture and construction,Civil Engineering,LY527,165,7,Letterkenny Institute of Technology
Architecture and construction,Construction Management,LY528,271,8,Letterkenny Institute of Technology
Engineering and engineering trades,Electronic Engineering,LY607,160,7,Letterkenny Institute of Technology
Engineering and engineering trades,Mechanical Engineering,LY608,300,8,Letterkenny Institute of Technology
Engineering and engineering trades,Mechanical Engineering,LY617,180,7,Letterkenny Institute of Technology
Engineering and engineering trades,Electronic Engineering,LY618,312,8,Letterkenny Institute of Technology
Information and Communication Technologies (ICTs),Computer Games Development,LY707,204,7,Letterkenny Institute of Technology
Information and Communication Technologies (ICTs),Applied Computing,LY708,306,8,Letterkenny Institute of Technology
Information and Communication Technologies (ICTs),Computing,LY717,164,7,Letterkenny Institute of Technology
Information and Communication Technologies (ICTs),Computer Security and Digital Forensics,LY737,169,7,Letterkenny Institute of Technology
Information and Communication Technologies (ICTs),Computer Science,LY748,317,8,Letterkenny Institute of Technology
Health,Pharmacy Technician,LY806,232,6,Letterkenny Institute of Technology
Health,Dental Nursing,LY816,233,6,Letterkenny Institute of Technology
Biological and related sciences,Bioscience,LY817,248,7,Letterkenny Institute of Technology
Biological and related sciences,Science - Common Entry,LY818,303,8,Letterkenny Institute of Technology
Health,Health Science with Physiotherapy Studies,LY826,456,6,Letterkenny Institute of Technology
Agriculture,Agriculture - Common Entry,LY828,307,8,Letterkenny Institute of Technology
Health,Health Science with Occupational Therapy Studies,LY836,473,6,Letterkenny Institute of Technology
Biological and related sciences,Food Science and Nutrition,LY837,194,7,Letterkenny Institute of Technology
Health,Health Science with Dietetics Studies,LY846,316,6,Letterkenny Institute of Technology
Veterinary,Veterinary Nursing,LY847,367,7,Letterkenny Institute of Technology
Biological and related sciences,Pharmaceutical & Medicinal Science,LY867,163,7,Letterkenny Institute of Technology
Agriculture,Agriculture,LY877,202,7,Letterkenny Institute of Technology
Welfare,"Early Childhood Care, Health and Education",LY906,205,6,Letterkenny Institute of Technology
Health,General Nursing,LY908,400,8,Letterkenny Institute of Technology
Health,Health and Social Care,LY916,181,6,Letterkenny Institute of Technology
Health,Psychiatric Nursing,LY918,357,8,Letterkenny Institute of Technology
Health,Intellectual Disability Nursing,LY928,326,8,Letterkenny Institute of Technology
Welfare,"Early Childhood Care, Health and Education",LY968,303,8,Letterkenny Institute of Technology
Health,Health & Social Care - Common Entry,LY978,280,8,Letterkenny Institute of Technology
Education,Education - Primary Teaching (Froebel),MH001,507,8,Maynooth University
Education,Education - Primary Teaching - Gaeltacht Applicants (Froebel),MH002,0,8,Maynooth University
Humanities (except languages),Arts,MH101,318,8,Maynooth University
Arts,Music,MH103,0,8,Maynooth University
Social and behavioural sciences,Psychology - 3 years,MH106,521,8,Maynooth University
Social and behavioural sciences,Social Science,MH107,346,8,Maynooth University
Arts,Media Studies,MH109,316,8,Maynooth University
Welfare,Community and Youth Work (Full-Time),MH116,0,8,Maynooth University
"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",Science,MH201,360,8,Maynooth University
Biological and related sciences,Biotechnology,MH202,455,8,Maynooth University
Biological and related sciences,Biological and Geographical Sciences,MH203,430,8,Maynooth University
Physical sciences,Physics with Astrophysics,MH204,422,8,Maynooth University
Mathematics and statistics,Theoretical Physics and Mathematics,MH206,510,8,Maynooth University
Information and Communication Technologies (ICTs),Data Science,MH207,445,8,Maynooth University
Biological and related sciences,Biological and Biomedical Sciences,MH208,498,8,Maynooth University
Social and behavioural sciences,Psychology (through Science) - 4 years,MH209,498,8,Maynooth University
Physical sciences,Pharmaceutical and Biomedical Chemistry,MH210,487,8,Maynooth University
"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",Science or Maths & Computer Science or Maths & Applied Maths (with Ed),MH212,422,8,Maynooth University
Engineering and engineering trades,Engineering (Computer/Electronic/Communications),MH304,333,8,Maynooth University
Engineering and engineering trades,Product Design,MH305,357,8,Maynooth University
Engineering and engineering trades,Robotics and Intelligent Devices,MH306,361,8,Maynooth University
Business and administration,Finance (options),MH401,357,8,Maynooth University
Business and administration,Quantitative Finance,MH402,476,8,Maynooth University
Business and administration,Accounting and Finance,MH403,422,8,Maynooth University
Business and administration,Business (options),MH404,430,8,Maynooth University
Business and administration,Equine Business,MH405,357,8,Maynooth University
Business and administration,Business and Accounting,MH407,420,8,Maynooth University
Business and administration,Entrepreneurship,MH411,371,8,Maynooth University
Law,LLB Law - four year Single Major Law programme,MH501,473,8,Maynooth University
Law,Law (options),MH502,451,8,Maynooth University
Information and Communication Technologies (ICTs),Computer Science through Arts (options),MH601,352,8,Maynooth University
Information and Communication Technologies (ICTs),Computer Science through Science (options),MH602,351,8,Maynooth University
Information and Communication Technologies (ICTs),Computational Thinking,MH603,532,8,Maynooth University
Education,Early Childhood - Teaching and Learning (part-time),MH801,327,8,Maynooth University
Welfare,"Community and Youth Work (part-time, in service)",MH802,0,8,Maynooth University
Social and behavioural sciences,"Local Studies/Community Studies (part-time, evening) - Mature Students",MH803,0,8,Maynooth University
Arts,Contemporary & Applied Theatre Studies,MI001,375,8,Mary Immaculate College
Arts,Arts,MI002,300,8,Mary Immaculate College
Education,Education - Primary Teaching - International,MI004,577,8,Mary Immaculate College
Education,Education - Primary Teaching,MI005,495,8,Mary Immaculate College
Education,Education - Primary Teaching - Gaeltacht Applicants,MI006,456,8,Mary Immaculate College
Education,Early Childhood Care and Education,MI007,357,8,Mary Immaculate College
Education,Education and Psychology - Primary Teaching,MI008,588,8,Mary Immaculate College
Education,"Education, Business Studies and Accounting",MI009,402,8,Mary Immaculate College
Education,"Education, Business Studies and Religious Studies",MI010,368,8,Mary Immaculate College
Education,"Education, Gaeilge and Religious Studies",MI011,409,8,Mary Immaculate College
Education,"Education, Gaeilge and Business Studies",MI012,401,8,Mary Immaculate College
Education,"Education, Mathematics and Gaeilge",MI013,444,8,Mary Immaculate College
Education,"Education, Mathematics and Business Studies",MI014,434,8,Mary Immaculate College
Interdisciplinary programmes and qualifications involving arts and humanities,Theology and Arts,MU001,290,8,"Pontifical University, St Patrick's College"
Interdisciplinary programmes and qualifications involving arts and humanities,Theology,MU002,440,8,"Pontifical University, St Patrick's College"
Information and Communication Technologies (ICTs),Computing (Degree Award options),NC003,260,8,National College of Ireland (NCI)
Business and administration,Human Resource Management,NC005,300,8,National College of Ireland (NCI)
Business and administration,Business,NC009,300,8,National College of Ireland (NCI)
Social and behavioural sciences,Psychology,NC010,400,8,National College of Ireland (NCI)
Business and administration,Marketing Practice,NC020,280,8,National College of Ireland (NCI)
Business and administration,Accounting and Finance,NC022,337,8,National College of Ireland (NCI)
Information and Communication Technologies (ICTs),Technology Management (with specialisations),NC023,261,8,National College of Ireland (NCI)
Information and Communication Technologies (ICTs),Computing,NC102,220,6,National College of Ireland (NCI)
Business and administration,Business,NC103,250,6,National College of Ireland (NCI)
Information and Communication Technologies (ICTs),Business Computing,NC104,243,6,National College of Ireland (NCI)
Education,Montessori Education,NM701,187,7,St Nicholas Montessori College Ireland
Education,Montessori Education,NM801,220,8,St Nicholas Montessori College Ireland
Humanities (except languages),Arts and Humanities,PC402,200,7,"Carlow College, St. Patrick`s"
Welfare,Applied Social Studies - Professional Social Care,PC404,217,7,"Carlow College, St. Patrick`s"
Social and behavioural sciences,"Social, Political and Community Studies",PC405,253,8,"Carlow College, St. Patrick`s"
Humanities (except languages),Arts and Humanities (fulfils Teaching Council requirements),PC410,252,8,"Carlow College, St. Patrick`s"
Humanities (except languages),English and History (fulfils Teaching Council requirements),PC411,255,8,"Carlow College, St. Patrick`s"
Health,Medicine - Undergraduate Entry (HPAT required),RC001,733,8,RCSI University of Medicine & Health Sciences
Health,Physiotherapy,RC004,566,8,RCSI University of Medicine & Health Sciences
Health,Pharmacy,RC005,579,8,RCSI University of Medicine & Health Sciences
Health,Medicine - Graduate Entry (GAMSAT required),RC101,0,8,RCSI University of Medicine & Health Sciences
Business and administration,Business,SG101,160,6,"Institute of Technology, Sligo"
Information and Communication Technologies (ICTs),Computing (Level 6 - General Entry),SG102,254,6,"Institute of Technology, Sligo"
Information and Communication Technologies (ICTs),Computing - Games Development,SG131,280,7,"Institute of Technology, Sligo"
Personal services,Applied Sport with Business,SG134,215,7,"Institute of Technology, Sligo"
Personal services,Business in Tourism with Event Management,SG135,187,7,"Institute of Technology, Sligo"
Information and Communication Technologies (ICTs),Computing - Software Development,SG136,272,7,"Institute of Technology, Sligo"
Information and Communication Technologies (ICTs),Computing (Computer Networks and Cloud Infrastructure),SG137,324,7,"Institute of Technology, Sligo"
Information and Communication Technologies (ICTs),Computing (Level 7 - General Entry),SG138,260,7,"Institute of Technology, Sligo"
Business and administration,Business,SG141,261,8,"Institute of Technology, Sligo"
Business and administration,Business in International Marketing and Languages (French),SG142,279,8,"Institute of Technology, Sligo"
Business and administration,Business in International Marketing and Languages (Spanish),SG144,270,8,"Institute of Technology, Sligo"
Business and administration,Accounting,SG146,309,8,"Institute of Technology, Sligo"
Personal services,Sport with Business,SG147,307,8,"Institute of Technology, Sligo"
Personal services,Tourism with Event Management,SG148,269,8,"Institute of Technology, Sligo"
Arts,Fine Art,SG231,449,7,"Institute of Technology, Sligo"
Arts,Creative Design,SG232,273,7,"Institute of Technology, Sligo"
Arts,Performing Arts (Theatre Design),SG235,319,7,"Institute of Technology, Sligo"
Arts,Performing Arts (Acting),SG236,235,7,"Institute of Technology, Sligo"
Arts,Performing Arts,SG241,328,8,"Institute of Technology, Sligo"
Welfare,Early Childhood Care and Education,SG242,279,8,"Institute of Technology, Sligo"
Welfare,Social Care Practice,SG243,301,8,"Institute of Technology, Sligo"
Arts,Fine Art,SG244,505,8,"Institute of Technology, Sligo"
Arts,Creative Design,SG245,282,8,"Institute of Technology, Sligo"
Information and Communication Technologies (ICTs),Computing,SG246,290,8,"Institute of Technology, Sligo"
Social and behavioural sciences,English and Psychology,SG247,309,8,"Institute of Technology, Sligo"
Social and behavioural sciences,Sociology and Politics,SG248,281,8,"Institute of Technology, Sligo"
Languages,Writing and Literature,SG249,297,8,"Institute of Technology, Sligo"
Information and Communication Technologies (ICTs),Application Design and User Experience,SG250,412,8,"Institute of Technology, Sligo"
Information and Communication Technologies (ICTs),Computing (Smart Technologies),SG251,327,8,"Institute of Technology, Sligo"
Information and Communication Technologies (ICTs),Software Development,SG252,307,8,"Institute of Technology, Sligo"
Information and Communication Technologies (ICTs),Computer Networks and Cloud Infrastructure,SG253,324,8,"Institute of Technology, Sligo"
Languages,Writing and Literature Online,SG254,225,8,"Institute of Technology, Sligo"
Engineering and engineering trades,Engineering (General Entry),SG300,209,6,"Institute of Technology, Sligo"
Architecture and construction,Construction Economics,SG302,184,6,"Institute of Technology, Sligo"
Architecture and construction,Applied Construction Technology,SG308,171,6,"Institute of Technology, Sligo"
Engineering and engineering trades,Engineering (General Entry),SG330,243,7,"Institute of Technology, Sligo"
Architecture and construction,Interior Architecture and Design,SG331,236,7,"Institute of Technology, Sligo"
Architecture and construction,Advanced Wood and Sustainable Building Technology,SG332,208,7,"Institute of Technology, Sligo"
Engineering and engineering trades,Mechanical Engineering,SG333,216,7,"Institute of Technology, Sligo"
Engineering and engineering trades,Mechatronic Engineering,SG334,290,7,"Institute of Technology, Sligo"
Engineering and engineering trades,Precision Engineering and Design,SG336,309,7,"Institute of Technology, Sligo"
Architecture and construction,Civil Engineering,SG338,245,7,"Institute of Technology, Sligo"
Architecture and construction,Quantity Surveying,SG339,195,7,"Institute of Technology, Sligo"
Architecture and construction,Civil Engineering,SG342,415,8,"Institute of Technology, Sligo"
Architecture and construction,Quantity Surveying,SG343,311,8,"Institute of Technology, Sligo"
Architecture and construction,Construction Project Management and Applied Technology,SG346,291,8,"Institute of Technology, Sligo"
Architecture and construction,Architecture,SG347,360,8,"Institute of Technology, Sligo"
Architecture and construction,Interior Architecture and Design,SG348,316,8,"Institute of Technology, Sligo"
Biological and related sciences,Science,SG401,209,6,"Institute of Technology, Sligo"
Environment,Environmental Science with Ecology (Level 6),SG404,264,6,"Institute of Technology, Sligo"
Health,Health and Exercise Science,SG406,367,6,"Institute of Technology, Sligo"
Physical sciences,Pharmaceutical Science with Drug Development,SG431,269,7,"Institute of Technology, Sligo"
Hygiene and occupational health services,Occupational Safety and Health,SG433,223,7,"Institute of Technology, Sligo"
Health,Human Nutrition,SG434,280,7,"Institute of Technology, Sligo"
Health,Health Science and Physiology,SG435,289,7,"Institute of Technology, Sligo"
Health,Biomedical Science,SG436,262,7,"Institute of Technology, Sligo"
Biological and related sciences,Forensic Investigation and Analysis,SG437,243,7,"Institute of Technology, Sligo"
Environment,Environmental Science with Ecology (Level 7),SG439,254,7,"Institute of Technology, Sligo"
Hygiene and occupational health services,Occupational Safety and Health,SG442,290,8,"Institute of Technology, Sligo"
Health,Human Nutrition,SG443,356,8,"Institute of Technology, Sligo"
Biological and related sciences,Science Undenominated,SG444,338,8,"Institute of Technology, Sligo"
Physical sciences,Pharmaceutical Science with Drug Development,SG445,311,8,"Institute of Technology, Sligo"
Health,Health Science and Physical Activity,SG447,328,8,"Institute of Technology, Sligo"
Biological and related sciences,Forensic Investigation and Analysis,SG448,306,8,"Institute of Technology, Sligo"
Health,Medical Biotechnology,SG449,341,8,"Institute of Technology, Sligo"
Environment,Environmental Science with Ecology (Level 8),SG450,300,8,"Institute of Technology, Sligo"
Health,Health and Medical Information Science (Online),SG530,285,7,"Institute of Technology, Sligo"
Business and administration,Business Administration,SG535,228,7,"Institute of Technology, Sligo"
Business and administration,Business,SG536,223,7,"Institute of Technology, Sligo"
Business and administration,Marketing and Sales,SG537,234,7,"Institute of Technology, Sligo"
Personal services,Culinary Arts,TL620,189,6,"Institute of Technology, Tralee"
Environment,Science (Biological and Environmental Studies),TL651,223,6,"Institute of Technology, Tralee"
Health,Pharmacy Technician,TL652,260,6,"Institute of Technology, Tralee"
Arts,"Animation, Visual Effects and Motion Design (Level 7)",TL701,228,7,"Institute of Technology, Tralee"
Arts,"TV, Radio and New Media (Level 7)",TL702,243,7,"Institute of Technology, Tralee"
Information and Communication Technologies (ICTs),Computing with Software Development,TL710,232,7,"Institute of Technology, Tralee"
Information and Communication Technologies (ICTs),Computing with Games Development,TL711,224,7,"Institute of Technology, Tralee"
Information and Communication Technologies (ICTs),Computing (Degree Award options),TL715,251,7,"Institute of Technology, Tralee"
Information and Communication Technologies (ICTs),Computer Systems and Networking,TL716,269,7,"Institute of Technology, Tralee"
Business and administration,Business (Major Specialism in: Acctng or Mktg or Mgmnt),TL731,219,7,"Institute of Technology, Tralee"
Agriculture,Agricultural Mechanisation,TL743,0,7,"Institute of Technology, Tralee"
Agriculture,Agricultural Engineering,TL744,243,7,"Institute of Technology, Tralee"
Architecture and construction,Civil and Environmental Engineering,TL745,261,7,"Institute of Technology, Tralee"
Engineering and engineering trades,Engineering in Mechanical and Manufacturing Engineering,TL747,200,7,"Institute of Technology, Tralee"
Biological and related sciences,Agricultural Science,TL748,249,7,"Institute of Technology, Tralee"
Health,Pharmaceutical Science (Degree Award options),TL755,261,7,"Institute of Technology, Tralee"
Veterinary,Animal Bioscience,TL758,251,7,"Institute of Technology, Tralee"
Personal services,Health and Leisure (Degree Award Options),TL771,208,7,"Institute of Technology, Tralee"
Personal services,Health and Leisure with Massage,TL772,218,7,"Institute of Technology, Tralee"
Personal services,Coaching and Sports Performance,TL773,106,7,"Institute of Technology, Tralee"
Welfare,Early Childhood Care and Education,TL780,234,7,"Institute of Technology, Tralee"
Welfare,Social Care,TL781,225,7,"Institute of Technology, Tralee"
Arts,"Animation, Visual Effects and Motion Design (Level 8)",TL801,281,8,"Institute of Technology, Tralee"
Arts,"TV, Radio and New Media (Level 8)",TL802,325,8,"Institute of Technology, Tralee"
Information and Communication Technologies (ICTs),Computing with Software Development,TL810,310,8,"Institute of Technology, Tralee"
Information and Communication Technologies (ICTs),Computing with Games Development,TL811,358,8,"Institute of Technology, Tralee"
Information and Communication Technologies (ICTs),Computing (Degree Award options),TL815,308,8,"Institute of Technology, Tralee"
Personal services,Event Management (3 year programme),TL823,299,8,"Institute of Technology, Tralee"
Business and administration,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),TL831,306,8,"Institute of Technology, Tralee"
"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agricultural Engineering,TL844,300,8,"Institute of Technology, Tralee"
Architecture and construction,Civil Engineering,TL845,325,8,"Institute of Technology, Tralee"
Manufacturing and processing,Manufacturing Engineering,TL847,302,8,"Institute of Technology, Tralee"
"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agricultural Science,TL848,308,8,"Institute of Technology, Tralee"
Environment,Wildlife Biology (Degree Award options),TL851,309,8,"Institute of Technology, Tralee"
Health,Pharmaceutical Science (Degree Award options),TL855,317,8,"Institute of Technology, Tralee"
Veterinary,Veterinary Bioscience,TL858,308,8,"Institute of Technology, Tralee"
Personal services,Health and Leisure (Degree Award options),TL871,300,8,"Institute of Technology, Tralee"
Personal services,Health and Leisure with Massage,TL872,309,8,"Institute of Technology, Tralee"
Personal services,Coaching and Sports Performance,TL873,289,8,"Institute of Technology, Tralee"
Welfare,Early Childhood Care and Education,TL880,307,8,"Institute of Technology, Tralee"
Welfare,Social Care,TL881,308,8,"Institute of Technology, Tralee"
Welfare,Counselling with Addiction - Mature applicants only,TL889,0,8,"Institute of Technology, Tralee"
Health,General Nursing and Mature Applicants,TL890,440,8,"Institute of Technology, Tralee"
Health,Mental Health Nursing and Mature Applicants,TL891,389,8,"Institute of Technology, Tralee"
Arts,Music,TR002,435,8,Trinity College Dublin
Humanities (except languages),History,TR003,497,8,Trinity College Dublin
Law,Law,TR004,566,8,Trinity College Dublin
Humanities (except languages),Philosophy,TR005,442,8,Trinity College Dublin
Social and behavioural sciences,Psychology,TR006,567,8,Trinity College Dublin
Health,Clinical Speech and Language Studies,TR007,529,8,Trinity College Dublin
